Source,Target
14856,1
26692,1
41217,5
8260,5
45454,5
17561,5
52393,5
9393,5
8508,5
42779,8
39237,8
50032,8
39292,8
35469,8
26008,8
22699,8
2802,8
16294,10
23463,16
15885,18
33354,18
41548,18
17012,18
30930,18
29928,18
42779,18
4401,18
344,18
32161,18
25016,18
10681,18
4350,22
19764,31
19241,33
39725,33
2360,33
6983,33
32635,33
2202,33
57251,33
39095,33
42749,33
21780,40
35904,41
41903,41
35779,47
6446,51
27972,51
53834,51
18255,51
41315,51
48004,51
10379,51
663,51
12198,51
28328,51
1980,51
43253,51
58033,54
59680,70
165,70
20408,70
29648,70
33998,71
664,71
34657,71
48866,71
28773,71
28514,77
53190,77
7797,91
9927,97
48491,97
51256,101
56380,101
21316,101
13486,102
1817,113
44073,113
32045,113
49621,113
1642,113
2542,114
29863,119
5869,119
21399,132
4387,132
15653,132
60345,132
58882,142
9133,142
30258,142
253,142
43515,147
18888,154
17892,156
29350,156
3117,156
55446,156
27606,156
56504,156
23070,156
26116,158
40621,162
1440,164
60215,164
33980,164
3544,164
52832,164
26738,164
14157,165
9960,165
52860,165
19313,175
57143,175
5048,175
43337,176
27986,176
60502,176
56462,176
42917,176
52932,176
37709,181
3762,181
34687,184
10043,187
43045,189
34905,189
9020,189
40410,189
29889,192
21782,193
32996,198
33604,198
39236,198
24446,198
23517,198
4594,198
2656,200
45097,203
19148,203
23799,203
40355,211
37069,211
40798,214
5778,216
27167,216
34219,216
52595,216
21804,227
52206,227
48890,228
9351,237
23123,239
25185,239
25063,239
22798,241
47171,241
46996,241
11461,241
6375,241
18594,243
24377,246
33382,246
33388,246
15740,246
20364,246
13217,246
19400,246
8425,246
43210,249
27177,255
50311,255
131,256
46635,256
18004,256
6401,266
9605,266
51912,266
24734,266
21037,266
11828,266
42841,272
32351,274
21645,274
56037,274
22797,274
55568,274
320,274
8529,274
53191,274
14836,274
11717,282
11970,283
9040,283
38387,283
3349,286
20695,293
9426,294
37477,294
42085,305
54765,305
60075,305
33788,310
10826,310
30838,310
21627,310
49876,310
24285,310
51525,310
10602,310
41201,321
45045,321
32015,325
3641,325
58685,325
357,325
31285,329
12425,336
42903,336
28110,336
1886,336
50740,341
18781,344
38274,352
20875,352
40603,352
24742,352
12084,352
13373,352
43204,352
35019,352
26701,352
11994,352
2414,352
26873,352
14227,353
43856,357
25110,357
19997,357
21427,357
55347,357
3641,357
21429,362
38271,366
22173,366
30132,366
37559,366
33053,369
58474,369
31278,371
29625,371
32716,371
22477,371
55758,371
12759,371
60636,371
25850,374
57224,375
43031,375
42815,375
6474,376
42204,379
17116,379
38503,379
13362,379
47474,379
1065,384
6795,384
36239,384
37532,384
11707,384
7876,384
23521,384
6643,384
21952,396
13262,396
7248,396
60634,396
16028,396
44701,396
29160,396
60139,396
60077,396
25079,396
19851,401
17957,415
12663,415
57496,417
46412,417
26592,417
56169,417
48129,423
45081,423
4173,423
1114,423
55399,423
37047,423
36041,423
18643,423
10505,423
4392,423
36141,423
59700,423
34208,423
34213,423
45485,423
31174,423
47623,423
41502,423
44591,423
9820,423
20127,423
27302,423
33583,423
54092,423
32683,423
52167,423
5481,429
46858,432
32025,432
27988,432
3304,432
16061,433
36251,438
22318,438
34803,443
37742,446
4504,446
35870,446
21297,454
17364,454
49841,458
10642,465
25800,475
46210,493
28170,493
9313,493
45755,493
19164,502
2878,502
52407,506
12410,506
47698,510
23708,510
24570,515
30436,519
4106,533
55402,533
15973,533
44805,533
3943,533
37815,533
25862,534
56587,534
29395,534
48346,534
38301,534
56180,539
10256,543
36556,543
53534,543
32032,543
55084,543
30049,543
36724,543
36289,543
18905,543
29999,549
30773,549
55865,549
25701,549
40053,549
35702,549
49783,549
40064,549
20613,549
48519,549
17038,549
36760,549
940,549
22737,549
26343,549
24050,549
55027,549
31029,554
7295,554
4248,557
27699,558
51023,559
39311,559
50069,562
41955,562
52125,568
15028,575
9739,580
5812,582
440,582
20030,582
2567,587
36620,587
13073,587
57621,587
59679,587
60471,587
59196,587
11154,587
12437,587
47509,587
42685,587
17866,587
18901,587
3465,595
7574,595
46871,595
27033,595
8738,595
30375,595
49966,595
54062,595
59579,595
37699,595
27726,595
27626,595
48106,595
3971,616
12822,616
9859,623
17333,623
30791,623
22885,623
52587,623
29298,623
50052,628
57104,628
43099,628
7521,635
9579,646
24782,648
29153,648
35511,648
32235,648
13321,649
52634,652
35932,652
47646,653
47274,653
577,653
55536,653
23134,654
20580,654
59011,654
21935,654
29127,654
39376,654
26590,654
49640,654
14752,655
25089,657
13316,657
43083,657
39058,657
56094,657
15181,657
60314,657
41905,657
49113,657
13295,657
