p_form: 0.00, p_persistent_link: 0.0000
p_form: 0.01, p_persistent_link: 0.0000
p_form: 0.02, p_persistent_link: 0.0000
p_form: 0.03, p_persistent_link: 0.0000
p_form: 0.04, p_persistent_link: 0.0000
p_form: 0.05, p_persistent_link: 0.0000
p_form: 0.06, p_persistent_link: 0.0000
p_form: 0.07, p_persistent_link: 0.0000
p_form: 0.08, p_persistent_link: 0.0000
p_form: 0.09, p_persistent_link: 0.0000
p_form: 0.10, p_persistent_link: 0.0000
p_form: 0.11, p_persistent_link: 0.0000
p_form: 0.12, p_persistent_link: 0.0000
p_form: 0.13, p_persistent_link: 0.0000
p_form: 0.14, p_persistent_link: 0.0000
p_form: 0.15, p_persistent_link: 0.0000
p_form: 0.16, p_persistent_link: 0.0000
p_form: 0.17, p_persistent_link: 0.0000
p_form: 0.18, p_persistent_link: 0.0000
p_form: 0.19, p_persistent_link: 0.0000
p_form: 0.20, p_persistent_link: 0.0000
p_form: 0.21, p_persistent_link: 0.0000
p_form: 0.22, p_persistent_link: 0.0000
p_form: 0.23, p_persistent_link: 0.0000
p_form: 0.24, p_persistent_link: 0.0000
p_form: 0.25, p_persistent_link: 0.0000
p_form: 0.26, p_persistent_link: 0.0000
p_form: 0.27, p_persistent_link: 0.0000
p_form: 0.28, p_persistent_link: 0.0000
p_form: 0.29, p_persistent_link: 0.0000
p_form: 0.30, p_persistent_link: 0.0000
p_form: 0.31, p_persistent_link: 0.0000
p_form: 0.32, p_persistent_link: 0.0000
p_form: 0.33, p_persistent_link: 0.0000
p_form: 0.34, p_persistent_link: 0.0000
p_form: 0.35, p_persistent_link: 0.0000
p_form: 0.36, p_persistent_link: 0.0000
p_form: 0.37, p_persistent_link: 0.0000
p_form: 0.38, p_persistent_link: 0.0000
p_form: 0.39, p_persistent_link: 0.0000
p_form: 0.40, p_persistent_link: 0.0000
p_form: 0.41, p_persistent_link: 0.0000
p_form: 0.42, p_persistent_link: 0.0000
p_form: 0.43, p_persistent_link: 0.0000
p_form: 0.44, p_persistent_link: 0.0000
p_form: 0.45, p_persistent_link: 0.0000
p_form: 0.46, p_persistent_link: 0.0000
p_form: 0.47, p_persistent_link: 0.0000
p_form: 0.48, p_persistent_link: 0.0000
p_form: 0.49, p_persistent_link: 0.0000
p_form: 0.50, p_persistent_link: 0.0001
p_form: 0.51, p_persistent_link: 0.0001
p_form: 0.52, p_persistent_link: 0.0002
p_form: 0.53, p_persistent_link: 0.0002
p_form: 0.54, p_persistent_link: 0.0003
p_form: 0.55, p_persistent_link: 0.0006
p_form: 0.56, p_persistent_link: 0.0009
p_form: 0.57, p_persistent_link: 0.0012
p_form: 0.58, p_persistent_link: 0.0021
p_form: 0.59, p_persistent_link: 0.0028
p_form: 0.60, p_persistent_link: 0.0042
p_form: 0.61, p_persistent_link: 0.0062
p_form: 0.62, p_persistent_link: 0.0080
p_form: 0.63, p_persistent_link: 0.0118
p_form: 0.64, p_persistent_link: 0.0163
p_form: 0.65, p_persistent_link: 0.0221
p_form: 0.66, p_persistent_link: 0.0288
p_form: 0.67, p_persistent_link: 0.0389
p_form: 0.68, p_persistent_link: 0.0518
p_form: 0.69, p_persistent_link: 0.0657
p_form: 0.70, p_persistent_link: 0.0828
p_form: 0.71, p_persistent_link: 0.1030
p_form: 0.72, p_persistent_link: 0.1285
p_form: 0.73, p_persistent_link: 0.1573
p_form: 0.74, p_persistent_link: 0.1906
p_form: 0.75, p_persistent_link: 0.2274
p_form: 0.76, p_persistent_link: 0.2654
p_form: 0.77, p_persistent_link: 0.3132
p_form: 0.78, p_persistent_link: 0.3615
p_form: 0.79, p_persistent_link: 0.4110
p_form: 0.80, p_persistent_link: 0.4674
p_form: 0.81, p_persistent_link: 0.5177
p_form: 0.82, p_persistent_link: 0.5728
p_form: 0.83, p_persistent_link: 0.6267
p_form: 0.84, p_persistent_link: 0.6828
p_form: 0.85, p_persistent_link: 0.7301
p_form: 0.86, p_persistent_link: 0.7776
p_form: 0.87, p_persistent_link: 0.8194
p_form: 0.88, p_persistent_link: 0.8577
p_form: 0.89, p_persistent_link: 0.8926
p_form: 0.90, p_persistent_link: 0.9200
p_form: 0.91, p_persistent_link: 0.9427
p_form: 0.92, p_persistent_link: 0.9612
p_form: 0.93, p_persistent_link: 0.9759
p_form: 0.94, p_persistent_link: 0.9861
p_form: 0.95, p_persistent_link: 0.9922
p_form: 0.96, p_persistent_link: 0.9962
p_form: 0.97, p_persistent_link: 0.9985
p_form: 0.98, p_persistent_link: 0.9997
p_form: 0.99, p_persistent_link: 1.0000
p_form: 1.00, p_persistent_link: 1.0000
